Company,Link,"Recuriter Name (First, Last)",Email,Phone Number,Status,Description,Technologies
Xandar Kardian,https://www.xkcorp.com/,,info@xkcorp.com,,,monitor buildings w/ vibrations ,
Fellow,https://fellow.app/,,support@fellow.app,,,app to help organize meetings and business efficency ,
Carbide,https://carbidesecure.com/,,info@carbidesecure.com,,,helps small businesses to understand data laws,
Gadget,https://gadget.dev/,,support@gadget.dev,,,helps make websites for businesses,
Secoda,https://www.secoda.co/,,hello@secoda.co,,,app to help efficiency in teams,
Snappy,https://gosnappy.io/index.html,,support@gosnappy.io,,,help run restaurants,
Codex,https://usecodex.com/,,,,,,
Shakepay,https://shakepay.com/,,,,,,
Nomic,https://nomic.bio/,,hello@nomic.bio,,,allows for detection of dieases,
Green Mountain,https://gmtn.ca/index.html,,careers@gmtn.ca,,,medical cannabis,
Bidmii,https://www.bidmii.com/,,admin@bidmii.com,,,software to connect homeowners with contractors,
Sonic Incytes,https://www.sonicincytes.com/,,communications@sonicincytes.com,,,"ultrasound tech for medicine, unsafe website warning",
Riparide,https://www.riparide.com/,,support@riparide.com,,,helps people book vacations,
Clutch,https://www.clutch.ca/,,support@clutch.ca,,,sell and buy used cars,
Portable Electric,https://portable-electric.com/,,info@portable-electric.com,,,create emission free electric generators,
Spare,https://sparelabs.com/,,,,,website crashed,
Validere,https://validere.com/,,admin@validere.com,,,make oil testing more secure,
Knak,https://knak.com/,,hello@knak.com,,,create email and landing pages for companies,
Keel,https://getkeel.com/,,hello@getkeel.com,,,help people immigrate to canada,
AgriFORCE,https://agriforcegs.com/,,office@agriforcegs.com,,,helps farmers grow crops,
Daley Progress Inc.,https://daleyprogress.com/,,linda@daleyprogress.com,,,help make websites for companies,
