Company Name,Company Email,Company Phone Number,Quick Info,"Recuriter Name (First, Last)",Status,Website
Adaptive Pulse,hello@adaptivepulse.com,1-647-905-9217,,,,https://adaptivepulse.com/
AfterSell,support@aftersell.app,,,,,https://aftersell.com/
Buckets Investing,info@bucketsinvesting.com,,,,,
Clausehound,support@clausehound.com,,,,,
Colmakers Inc.,hello@colmakers.com,,,,,
FutureFit AI,,,,,,
Honeybee Hub,info@honeybeehub.io,,,,,
Indie Travel,,,,,,
IntelliCulture,contact@intelliculture.ca,1-289-404-2653,,,,
KinCapsule,,,,,,
MAPLE SMART CONTROL,contact@maplesmartcontrol.com,1.506.440.5340,,,,
Proving Grounds,,,,,,
Quali Artificial Intelligence Inc.,hello@quali.ai,,,,,
Schedulock Inc.,info@schedulock.com,,,,,
Tayza,admin@tayza.io,6475682992,,,,
WellnessWorld,info@wellnessworld.ca,,,,,
Ada,hello@ada.support,1-877-242-8232,,,,https://www.ada.cx/
Borrowell,media@borrowell.com,,,,,https://borrowell.com/
Bluedot,info@bluedot.global,,,,,https://bluedot.global/contact/
integrate.ai,,,,,,https://integrate.ai/contact-us/
Maple,,,,,,https://www.getmaple.ca/business/connect/
Clearco,info@clear.co, 1 (415) 610-5166,,,,https://clear.co/
Wealthsimple,,,,,,https://www.wealthsimple.com/en-ca/
Stackadapt,,,,,,https://www.stackadapt.com/company
Loopio,,1-844-456-6746,,,,https://loopio.com/contact/
Ritual,,,,,,https://ritual.co/careers?
Connected,,,,,,https://connected.io/contact-us/
Drop,,,,,,https://www.earnwithdrop.com/
Opencare,,,,,,https://www.opencare.com/
