Company,Link,"Recuriter Name (First, Last)",Email,Phone Number,Status,Description,Technologies
Maple,https://www.getmaple.ca/,,,,Apply to Job Position,,
AdVision Ecommerce,https://advision-ecommerce.com/,,,(866) 865-8783,Contact Monday,build ecommerce websites for companies,
YourTable,https://www.yourtable.co/,,support@yourtable.co,,Contact Monday,networking for dinners and business,
Connected,https://connected.io/,,,,Apply to Job Position,,
Drop,https://www.joindrop.com/,,,,Apply to Job Position,,
League,https://league.com/ca/,,help@league.com,,Contact Monday,helps create connection between doctor and patient in healthcare,
Borrowell,https://borrowell.com/,,media@borrowell.com,,Contact Monday,allows users to see their credit score,react
Ada,https://www.ada.cx/,,hello@ada.support,1-877-242-8232,Contact Monday,helps customer service in companies and interaction,
Adaptive Pulse,https://adaptivepulse.com/,,hello@adaptivepulse.com, 1-866-858-5999,Contact Monday,analyzes customer behaviour to help companies reach their market,
Buckets Investing,https://www.bucketsinvesting.com/,,info@bucketsinvesting.com,,Contact Monday,helps investing and investing strategies,
FutureFit AI,https://www.futurefit.ai/,,,,Contact Through Form,helps find companies for applicants,
HoneyBee Hub,https://hello.honeybeehub.io/,,hello@honeybeehub.io,,Contact Monday,service to connect reasearcher to partipants,
Indie Travel,https://www.indietravel.co/,,Serkan@indietravel.co,,Contact Monday,"helps scale business, and manage their streams",React
Maple Smart Control,https://www.maplesmartcontrol.com/,,contact@maplesmartcontrol.com,1.506.440.5340,Contact Monday,home security with tech,react
Intelli Culture,https://www.intelliculture.ca/,,contact@intelliculture.ca,1-289-404-2653,Contact Monday,create tech that helps agriculture and farming,
Quali,https://www.quali.ai/,,hello@quali.ai,,Contact Monday,robots that help sort and manufacture,
Schedulock,https://www.schedulock.com/,,info@schedulock.com,(647) 494 - 0109,Contact Monday,service to manage brokage and real-estate listing,
Tayza,https://www.tayza.io/,,admin@tayza.io,647-568-2992,Contact Monday,service for same-day delivery,
