Company,Link,"Recuriter Name (First, Last)",Email,Phone Number,Status,Description,Technologies
Essential Designs,https://www.essentialdesigns.net/,,admin@essentialdesigns.net,,,creates websites and mobile apps for people,
datarockets,https://datarockets.com/,,hello@datarockets.com,,,creates websites and mobile apps for people,
NeuraVue,https://neuravue.com//,,contactus@neuravue.com,6475485078,,brining innovations to video surveillance ,
Visto,https://visto.ai/,,josh@visto.ai,	(650) 486-6000,,helps find foreign jobs,
Ucast,https://www.ucast.xyz/,,team@ucast.xyz,,,connects advertisiers to podcasters,
Javelin,https://www.javelinsportsinc.com/,,contact@javelinsportsinc.com,,,find sport events near you,
Paqt,https://paqt.chat/,,anatolii@paqt.chat,,,helps the legal signing process,
Cansulta,https://www.cansulta.com/,,help@cansulta.com,,,platfrom that connects consultants to companies,
HiredHippo,https://hiredhippo.ai/,,alex@hiredhippo.ai,,,helps find startups that are hiring,
Equivesto,https://equivesto.com/,,support@equivesto.com,,,angel investing,
Payd,https://www.paydapp.ca/,,Jon@paydapp.ca,4168780571,,helps manage student finances,
Pocketed,https://hellopocketed.io/,,hello@hellopocketed.io,,,helps find funding for startups,
WFHomie,https://www.wfhomie.com/,,contact@wfhomie.com,,,helps the remote work all-in-one,
VanHack,https://vanhack.com/,,ilya@vanhack.com,1(177)883-76206,,helps hire software developers,
Souqh,https://www.souqh.ca/,,support@souqh.ca,(647) 871 3786,,helps the home ownership experience,
Part3,https://www.part3.io/,,hello@part3.io,,,helps construction teams with productivity and working,
Unwrapit,https://www.unwrapit.com/,,team@unwrapit.com,(647) 983-3297,,helps with corporate gifting,
Requity Homes,https://www.requityhomes.com/,,info@requityhomes.com,1-855-952-6492,,helps the home ownership experience,
Functionland,https://fx.land/,,hi@fx.land,,,block-chain data storage solution,
BoastAI,https://boast.ai/,,contact@boast.ai,1.800.290.5672,,helps startups get funding and tax credits with R&D,
EdgeCom Energy,https://www.edgecomenergy.ca/,,info@edgecomenergy.ca,416.640.2401,,helps manage emission and energy usage,
Perch,https://myperch.io/home/,,support@myperch.io,18444158263,,helps the home ownership experience,
Aggregate Intellect,https://ai.science/,,info@aggregateintelligence.com,1-800-969-7424,,helps build AIs for developer by organization,
Pronti AI,https://www.pronti.app/,,support@pronti.app,,,helps buy clothes with AI,
Wize,https://www.wizeprep.com/,,vlad@wizeprep.com,,,helps students get better grades with video lessons,
Commit,https://commit.dev/,,help@commit.dev,,,helps software engineers find jobs easily,
BioBox,https://biobox.io/,,info@biobox.io,,,bio-tech does genome sequencing,
